benchmark,workers,execution time (s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms)
single,1,13.4195,0.00112623,0,0,0
single,1,13.3707,0.00112623,0,0,0
single,1,13.2684,0.00112623,0,0,0
single,1,13.0056,0.00112623,0,0,0
single,1,13.4264,0.00112623,0,0,0
single,2,20.1499,0.00190138,0,0,0
single,2,19.2072,0.00187811,0,0,0
single,2,19.8861,0.00187598,0,0,0
single,2,19.8827,0.00186055,0,0,0
single,2,18.8062,0.00184103,0,0,0
single,4,18.4547,0.00347733,0,0,0
single,4,18.7487,0.00348992,0,0,0
single,4,18.537,0.00350136,0,0,0
single,4,18.8038,0.0035267,0,0,0
single,4,18.9024,0.0034285,0,0,0
single,8,29.7324,0.0066286,0,0,0
single,8,32.7991,0.00635259,0,0,0
single,8,30.8893,0.0064845,0,0,0
single,8,28.0937,0.00644055,0,0,0
single,8,32.3269,0.00664938,0,0,0
single,16,34.3936,0.0218388,0,0,0
single,16,34.6432,0.0213429,0,0,0
single,16,34.863,0.021195,0,0,0
single,16,35.9341,0.0214696,0,0,0
single,16,35.2183,0.0223862,0,0,0
single,32,38.815,0.0474039,0,0,0
single,32,45.4553,0.0475799,0,0,0
single,32,40.0184,0.0466755,0,0,0
single,32,40.742,0.0468564,0,0,0
single,32,40.3413,0.0476645,0,0,0
single,64,52.622,0.0701541,0,0,0
single,64,56.123,0.0604726,0,0,0
single,64,51.3958,0.0603457,0,0,0
single,64,52.8428,0.0605422,0,0,0
single,64,56.0243,0.0590657,0,0,0
single,128,100.96,0.0880089,0,0,0
single,128,90.9325,0.0624156,0,0,0
single,128,111.758,0.0669758,0,0,0
single,128,111.656,0.0808629,0,0,0
single,128,115.31,0.0761425,0,0,0
mrv-flex-vector.balance-none.abort-10x,1,18.0161,0.00262693,1.26745,0,0
mrv-flex-vector.balance-none.abort-10x,1,18.0492,0.00262693,1.25366,0,0
mrv-flex-vector.balance-none.abort-10x,1,18.1906,0.00262693,1.24981,0,0
mrv-flex-vector.balance-none.abort-10x,1,17.9832,0.00262693,1.25483,0,0
mrv-flex-vector.balance-none.abort-10x,1,18.061,0.00262693,1.25703,0,0
mrv-flex-vector.balance-none.abort-10x,2,21.958,0.00262681,1.25538,0,0
mrv-flex-vector.balance-none.abort-10x,2,22.5198,0.00262522,1.2915,0,0
mrv-flex-vector.balance-none.abort-10x,2,22.1471,0.00262491,1.25377,0,0
mrv-flex-vector.balance-none.abort-10x,2,22.0437,0.00262618,1.27447,0,0
mrv-flex-vector.balance-none.abort-10x,2,22.1003,0.00262523,1.28006,0,0
mrv-flex-vector.balance-none.abort-10x,4,20.1387,0.00265782,1.40135,0,0
mrv-flex-vector.balance-none.abort-10x,4,26.6233,0.00265974,1.86059,0,0
mrv-flex-vector.balance-none.abort-10x,4,20.5635,0.00266321,1.34745,0,0
mrv-flex-vector.balance-none.abort-10x,4,20.8544,0.00266289,1.39422,0,0
mrv-flex-vector.balance-none.abort-10x,4,19.8914,0.00266654,1.40668,0,0
mrv-flex-vector.balance-none.abort-10x,8,33.8606,0.00266934,2.45499,0,0
